as_of_date,step_week,Date,predicted_weekly_log_return,projected_price,anchor_weekly_log_return,raw_1w_log_return
2026-04-02,1,2026-04-09,0.07902546058000046,316.6751935706246,-0.005550053257208604,0.007242192514240742
2026-04-02,2,2026-04-16,0.029843137593605292,323.1900538435474,-0.008933073810696966,0.0026795794256031513
2026-04-02,3,2026-04-23,-0.05185379219969555,303.96347675236086,-0.010548749285876227,0.0011950432090088725
2026-04-02,4,2026-04-30,-0.028852218225686142,292.53260356882885,-0.008752877854840604,0.0033651147969067097
2026-04-02,5,2026-05-07,-0.04959498350495732,275.75200635490614,-0.007839271474347624,0.008772398345172405
2026-04-02,6,2026-05-14,0.026202716725635324,280.40232385731014,-0.005850904234794781,0.008532614447176456
2026-04-02,7,2026-05-21,-0.010951088253893279,274.73174434579323,-0.007453585282816287,0.008410101756453514
2026-04-02,8,2026-05-28,-0.02891140217002206,264.384514090527,-0.007269506179075394,0.008378740400075912
2026-04-02,9,2026-06-04,-0.019904093831827296,256.72904634964954,-0.006067178624022802,0.009058048017323017
2026-04-02,10,2026-06-11,0.016602731265291215,258.5643909706895,-0.005253242435328419,0.011755074374377728
2026-04-02,11,2026-06-18,-0.01737558124435369,251.7131053936205,-0.006619240791617146,0.009058048017323017
2026-04-02,12,2026-06-25,-0.007055341968447504,247.58536169531664,-0.005902151428101377,0.012058802880346775
2026-04-02,13,2026-07-02,0.017535883562720574,249.58813362510625,-0.00581978067521951,0.012058802880346775
2026-04-02,14,2026-07-09,-0.026461440625392733,240.77706048386585,-0.0076163702319841315,0.010030592791736126
2026-04-02,15,2026-07-16,-0.004685802017092908,237.39049300517,-0.00604594769920008,0.01192659605294466
2026-04-02,16,2026-07-23,-0.03748550912850088,226.49926907670584,-0.006169597306664368,0.011389878578484058
2026-04-02,17,2026-07-30,-0.02300017860780959,219.26089699034367,-0.0030380061244807176,0.01957765966653824
2026-04-02,18,2026-08-06,-0.007028753344328134,215.67105854784685,-0.0008199869596663982,0.018873075023293495
2026-04-02,19,2026-08-13,0.019369196663626055,217.81462531486127,-4.3891161583681226e-05,0.018133576959371567
2026-04-02,20,2026-08-20,-0.005238165469557214,214.6324402580344,-0.0028171894223279295,0.01579326018691063
2026-04-02,21,2026-08-27,0.03629169737945594,220.4651151124467,-0.0024136934144563817,0.018133576959371567
2026-04-02,22,2026-09-03,0.07986674924951709,236.5422917625297,-0.010154771573238845,0.011923381127417088
2026-04-02,23,2026-09-10,0.015877385662099938,238.060583328499,-0.03266015177892783,0.005057328846305609
2026-04-02,24,2026-09-17,0.03166683107103351,243.40161509785983,-0.048839330925937084,0.004823177587240934
2026-04-02,25,2026-09-24,0.022576379445066366,246.61045526475388,-0.08909241192442238,0.002837355248630047
2026-04-02,26,2026-10-01,0.0456982059592761,255.70616324019747,-0.20076120329391112,0.00016280195268336684
