date,forecast,lower_95,upper_95,step
2026-04-17,166.5736846923828,154.84585909064154,178.30151029412409,1
2026-04-24,166.72557067871094,150.13992065558205,183.31122070183983,2
2026-05-01,164.7091827392578,144.3959929347349,185.02237254378073,3
2026-05-08,164.7091827392578,141.25353153577527,188.16483394274036,4
2026-05-15,164.7091827392578,138.48496746550197,190.93339801301366,5
2026-05-22,164.7091827392578,135.98199422264264,193.43637125587298,6
2026-05-29,164.7091827392578,133.68027277751398,195.73809270100165,7
2026-06-05,164.5729217529297,131.40162170667188,197.7442217991875,8
2026-06-12,164.5729217529297,129.3894449477059,199.75639855815348,9
2026-06-19,164.5729217529297,127.4862808501925,201.6595626556669,10
2026-06-26,164.5729217529297,125.67612462522987,203.4697188806295,11
2026-07-03,164.29771423339844,123.67133462435262,204.92409384244425,12
2026-07-10,164.5729217529297,122.28764519615224,206.85819830970712,13
2026-07-17,164.5729217529297,120.69141645937793,208.45442704648144,14
2026-07-24,164.5729217529297,119.15124851016078,209.9945949956986,15
2026-07-31,164.5729217529297,117.66161934596462,211.48422415989475,16
2026-08-07,164.5729217529297,116.21785803812745,212.92798546773193,17
2026-08-14,164.5729217529297,114.81597168354298,214.3298718223164,18
2026-08-21,164.5729217529297,113.4525151274704,215.69332837838897,19
2026-08-28,164.5729217529297,112.124491205418,217.02135230044138,20
2026-09-04,164.5729217529297,110.8292731957093,218.31657031015007,21
2026-09-11,163.07858276367188,108.07020473280394,218.0869607945398,22
2026-09-18,163.07858276367188,106.83390704292715,219.3232584844166,23
2026-09-25,163.07858276367188,105.6242057304415,220.53295979690225,24
2026-10-02,163.27220153808594,104.6330735293796,221.91132954679227,25
2026-10-09,163.07858276367188,103.27817116838013,222.8789943589636,26
