Date,coffee_c
2025-04-02,388.85
2025-04-03,385.25
2025-04-04,365.7
2025-04-07,344.8
2025-04-08,342.9
2025-04-09,341.7
2025-04-10,342.85
2025-04-11,357.7
2025-04-14,358.5
2025-04-15,367.15
2025-04-16,373.8
2025-04-17,372.6
2025-04-21,364.55
2025-04-22,372.75
2025-04-23,385.75
2025-04-24,398.8
2025-04-25,399.85
2025-04-28,410.05
2025-04-29,399.8
2025-04-30,400.75
2025-05-01,384.65
2025-05-02,385.4
2025-05-05,388.25
2025-05-06,389.85
2025-05-07,384.1
2025-05-08,387.35
2025-05-09,387.75
2025-05-12,372.95
2025-05-13,384.85
2025-05-14,373.95
2025-05-15,384.95
2025-05-16,376.25
2025-05-19,376.15
2025-05-20,369.3
2025-05-21,370.3
2025-05-22,360.75
2025-05-23,361.0
2025-05-27,361.7
2025-05-28,351.95
2025-05-29,348.4
2025-05-30,342.45
2025-06-02,344.45
2025-06-03,340.85
2025-06-04,346.15
2025-06-05,359.75
2025-06-06,358.05
2025-06-09,359.4
2025-06-10,353.05
2025-06-11,348.6
2025-06-12,345.3
2025-06-13,346.0
2025-06-16,340.25
2025-06-17,332.45
2025-06-18,322.3
2025-06-20,315.05
2025-06-23,326.55
2025-06-24,311.35
2025-06-25,304.5
2025-06-26,305.65
2025-06-27,303.75
2025-06-30,300.1
2025-07-01,291.95
2025-07-02,291.2
2025-07-03,289.6
2025-07-07,278.25
2025-07-08,285.6
2025-07-09,284.05
2025-07-10,287.8
2025-07-11,286.5
2025-07-14,301.85
2025-07-15,301.6
2025-07-16,314.55
2025-07-17,312.5
2025-07-18,308.9
2025-07-21,297.25
2025-07-22,296.35
2025-07-23,301.35
2025-07-24,304.85
2025-07-25,297.55
2025-07-28,301.7
2025-07-29,296.5
2025-07-30,293.4
2025-07-31,295.8
2025-08-01,284.2
2025-08-04,288.55
2025-08-05,298.7
2025-08-06,293.4
2025-08-07,297.8
2025-08-08,309.35
2025-08-11,314.05
2025-08-12,308.3
2025-08-13,312.65
2025-08-14,318.7
2025-08-15,334.2
2025-08-18,336.05
2025-08-19,349.05
2025-08-20,353.45
2025-08-21,365.0
2025-08-22,378.3
2025-08-25,377.75
2025-08-26,372.3
2025-08-27,385.3
2025-08-28,377.5
2025-08-29,386.1
2025-09-02,370.35
2025-09-03,373.65
2025-09-04,374.4
2025-09-05,373.65
2025-09-08,384.85
2025-09-09,381.8
2025-09-10,386.9
2025-09-11,386.1
2025-09-12,410.65
2025-09-15,432.35
2025-09-16,422.25
2025-09-17,388.55
2025-09-18,385.85
2025-09-19,366.5
2025-09-22,367.35
2025-09-23,350.15
2025-09-24,367.75
2025-09-25,371.35
2025-09-26,378.05
2025-09-29,372.2
2025-09-30,374.85
2025-10-01,383.9
2025-10-02,378.1
2025-10-03,390.75
2025-10-06,381.35
2025-10-07,375.4
2025-10-08,385.1
2025-10-09,377.25
2025-10-10,373.05
2025-10-13,385.2
2025-10-14,399.65
2025-10-15,394.9
2025-10-16,393.8
2025-10-17,397.45
2025-10-20,406.05
2025-10-21,413.55
2025-10-22,420.85
2025-10-23,410.15
2025-10-24,403.0
2025-10-27,390.1
2025-10-28,387.9
2025-10-29,390.7
2025-10-30,392.0
2025-10-31,392.05
2025-11-03,406.65
2025-11-04,405.25
2025-11-05,413.6
2025-11-06,396.75
2025-11-07,407.8
2025-11-10,414.75
2025-11-11,422.7
2025-11-12,403.65
2025-11-13,401.7
2025-11-14,399.8
2025-11-17,376.6
2025-11-18,387.7
2025-11-19,374.85
2025-11-20,376.65
2025-11-21,369.45
2025-11-24,376.55
2025-11-25,383.3
2025-11-26,379.7
2025-11-28,381.2
2025-12-01,379.7
2025-12-02,373.45
2025-12-03,372.45
2025-12-04,380.5
2025-12-05,374.85
2025-12-08,366.2
2025-12-09,368.75
2025-12-10,372.3
2025-12-11,376.2
2025-12-12,369.3
2025-12-15,387.7
2025-12-16,379.3
2025-12-17,351.9
2025-12-18,345.45
2025-12-19,340.65
2025-12-22,347.35
2025-12-23,346.95
2025-12-24,345.15
2025-12-26,350.25
2025-12-29,352.15
2025-12-30,350.2
2025-12-31,348.75
2026-01-02,357.3
2026-01-05,359.35
2026-01-06,373.85
2026-01-07,375.45
2026-01-08,372.35
2026-01-09,357.65
2026-01-12,356.05
2026-01-13,360.25
2026-01-14,356.0
2026-01-15,358.1
2026-01-16,355.3
2026-01-20,346.5
2026-01-21,347.5
2026-01-22,347.7
2026-01-23,350.9
2026-01-26,356.25
2026-01-27,367.25
2026-01-28,351.0
2026-01-29,345.5
2026-01-30,332.25
2026-02-02,333.25
2026-02-03,317.1
2026-02-04,308.65
2026-02-05,308.4
2026-02-06,296.55
2026-02-09,293.85
2026-02-10,290.7
2026-02-11,292.85
2026-02-12,297.45
2026-02-13,298.3
2026-02-17,283.1
2026-02-18,285.15
2026-02-19,285.4
2026-02-20,285.7
2026-02-23,278.05
2026-02-24,285.5
2026-02-25,284.85
2026-02-26,282.3
2026-02-27,280.75
2026-03-02,284.6
2026-03-03,283.15
2026-03-04,286.25
2026-03-05,288.8
2026-03-06,293.3
2026-03-09,296.9
2026-03-10,295.8
2026-03-11,287.4
2026-03-12,291.9
2026-03-13,285.15
2026-03-16,297.75
2026-03-17,302.05
2026-03-18,299.7
2026-03-19,306.2
2026-03-20,309.75
2026-03-23,307.0
2026-03-24,317.85
2026-03-25,316.1
2026-03-26,307.65
2026-03-27,301.7
2026-03-30,292.55
2026-03-31,298.35
2026-04-01,297.8
2026-04-02,295.4
